top,top_color,bottom,bottom_color,shoes,shoes_color,occasion,temperature,feels_like,weather_type,season_match,score
sweater,black,shorts,black,sandals,burgundy,date,15,13,sunny,0.817,0.738
shirt,gray,sweatpants,gray,heels,gray,business,22,26,sunny,0.867,0.734
cardigan,beige,trousers,black,sneakers,navy,sport,12,10,cloudy,0.867,0.698
tank-top,black,skirt,burgundy,sneakers,black,formal,25,28,sunny,1.0,0.658
polo,navy,sweatpants,black,oxfords,green,sport,5,0,snow,0.867,0.555
shirt,navy,leggings,burgundy,loafers,purple,party,18,16,sunny,0.867,0.73
shirt,purple,sweatpants,yellow,heels,burgundy,formal,20,22,sunny,0.867,0.739
dress,black,none,none,sneakers,pink,date,12,11,rain,0.817,0.657
dress,orange,none,none,boots,green,date,8,8,sunny,0.817,0.686
blazer,navy,jeans,yellow,loafers,beige,business,22,24,sunny,0.867,0.823
shirt,blue,trousers,gray,loafers,yellow,date,15,16,sunny,0.867,0.786
blazer,white,skirt,white,heels,white,business,22,27,sunny,0.867,0.761
sweater,burgundy,jeans,purple,loafers,yellow,party,2,-3,rain,0.933,0.601
tank-top,black,shorts,purple,sandals,brown,formal,25,28,sunny,1.0,0.541
hoodie,burgundy,leggings,blue,sneakers,pink,casual,22,27,sunny,0.817,0.719
blazer,yellow,trousers,burgundy,oxfords,pink,date,8,7,sunny,0.867,0.766
blouse,purple,jeans,black,loafers,white,business,15,11,rain,0.867,0.795
blazer,navy,shorts,black,sneakers,burgundy,date,32,34,cloudy,0.867,0.738
polo,burgundy,jeans,gray,loafers,navy,business,20,21,cloudy,0.867,0.862
blouse,blue,skirt,navy,boots,gray,date,10,8,sunny,0.867,0.796
polo,gray,jeans,navy,heels,white,casual,22,19,rain,0.867,0.93
cardigan,gray,jeans,red,loafers,black,business,2,2,cloudy,0.933,0.812
t-shirt,purple,skirt,burgundy,sandals,gray,sport,32,36,sunny,1.0,0.746
polo,burgundy,jeans,burgundy,sneakers,blue,business,20,19,rain,0.867,0.733
t-shirt,burgundy,shorts,pink,oxfords,red,sport,15,17,cloudy,0.817,0.659
sweater,red,leggings,purple,boots,gray,party,2,1,cloudy,1.0,0.669
t-shirt,navy,shorts,brown,sneakers,red,sport,22,27,sunny,0.817,0.889
shirt,black,trousers,orange,loafers,red,date,20,20,cloudy,0.867,0.835
shirt,white,leggings,pink,sneakers,black,date,28,25,rain,0.85,0.749
blouse,orange,jeans,purple,heels,navy,date,2,0,cloudy,0.767,0.723
dress,orange,none,none,sneakers,orange,party,2,3,cloudy,0.7,0.582
blazer,purple,trousers,yellow,sneakers,gray,party,15,15,cloudy,0.867,0.718
shirt,black,skirt,purple,oxfords,brown,party,20,21,cloudy,0.867,0.808
blouse,pink,trousers,yellow,heels,burgundy,business,22,27,sunny,0.867,0.816
polo,red,shorts,pink,boots,burgundy,business,18,14,rain,0.867,0.569
hoodie,burgundy,jeans,navy,sneakers,burgundy,formal,5,1,snow,0.817,0.527
sweater,black,sweatpants,white,boots,pink,sport,2,1,rain,1.0,0.683
sweater,navy,leggings,beige,loafers,orange,party,5,5,cloudy,0.817,0.612
t-shirt,black,shorts,white,loafers,white,casual,18,20,sunny,0.817,0.882
blazer,green,jeans,red,loafers,gray,casual,10,6,rain,0.867,0.779
dress,white,none,none,sneakers,pink,party,32,31,rain,0.8,0.691
t-shirt,navy,shorts,yellow,sandals,red,business,25,30,sunny,1.0,0.608
shirt,gray,skirt,white,loafers,black,business,18,18,cloudy,0.867,0.969
shirt,pink,leggings,blue,loafers,black,formal,5,5,cloudy,0.867,0.766
cardigan,purple,jeans,burgundy,loafers,white,formal,5,-3,snow,0.867,0.655
sweater,yellow,trousers,navy,oxfords,black,formal,20,18,sunny,0.817,0.831
